business_legal_name,license_type,license_designation,premise_city,id,license_number,licensing_authority_id,licensing_authority,premise_state,license_status,license_status_date,license_term,issue_date,expiration_date,business_owner_name,business_structure,activity,parcel_number,business_phone,business_email,business_image_url,business_website,data_refreshed_date,premise_latitude,premise_longitude,premise_county,premise_street_address,premise_zip_code
King Cola LLC,"
SCLT0161
",Adult-Use,"Williamstown, MA 01267, USA",26,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.7120196,-73.20368979999999,Berkshire County,"Williamstown, MA 01267, USA","Williamstown, MA 01267, USA"
Northern Green,"
SCLT0194
",Adult-Use,"Colchester, UK",27,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.895927,0.8918740000000001,Essex,"Colchester, UK","Colchester, UK"
Grease Line Cannabis,"
SCLT0119
",Adult-Use,VT,28,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.4033164,-72.4134916,Windsor County,Weathersfield,USA
Choice Terp LLC,"
SCLT0113
",Adult-Use,Highgate,29,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.9385149,-73.0454456,Franklin County,Highgate Center,05459
Green River Cannabis Company,"
SCLT0120
",Adult-Use,"Hyde Park, Tampa, FL, USA",30,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,27.9416678,-82.4639251,Hillsborough County,"Hyde Park, Tampa, FL, USA","Hyde Park, Tampa, FL, USA"
Naked Hemp,"
SCLT0201
",Adult-Use,,31,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
Weed Connections,"
SCLT0169
",Adult-Use,"Mendon, MA, USA",32,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.1056525,-71.5522859,Worcester County,"Mendon, MA, USA","Mendon, MA, USA"
OGW Cannabis LLC,"
SCLT0171
",Adult-Use,"Bristol, UK",33,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.454513,-2.58791,Bristol City,"Bristol, UK","Bristol, UK"
Fern's Flowers LLC; Fern's Flowers,"
SCLT0121
",Adult-Use,Cavendish,34,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.3910072,-72.63581340000002,Windsor County,Proctorsville,VT
District 802 LLC,"
SCLT0152
",Adult-Use,VT 05301,35,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
Turkey Hollow Cannabis,"
SCLT0160
",Adult-Use,"3009 Broadway, New York, NY 10027, USA",36,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,40.8095133,-73.96339689999999,New York County,"3009 Broadway, New York, NY 10027, USA","3009 Broadway, New York, NY 10027, USA"
Cann Able Farms LLC,"
SCLT0130
",Adult-Use,VT 05440,37,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.9750541,-73.30022389999999,Grand Isle County,Alburgh,USA
Heady Righton LLC,"
SCLT0143
",Adult-Use,"Charlotte, NC, USA",38,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,35.2270869,-80.8431267,Mecklenburg County,"Charlotte, NC, USA","Charlotte, NC, USA"
Tall Truck,"
SCLT0146
",Adult-Use,Danville,39,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.4078953,-72.2104832,Caledonia County,West Danville,05873
Brown Dog Cannabis,"
SCLT0168
",Adult-Use,"Weybridge, UK",40,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.3716269,-0.457904,Surrey,"Weybridge, UK","Weybridge, UK"
Tunbridge Roots LLC,"
SCLT0182
",Adult-Use,VT,41,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.9198761,-72.4782827,Orange County,Tunbridge,USA
Four Turtles Farm,"
SCLT0166
",Adult-Use,VT 05602,42,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.26005929999999,-72.5753869,Washington County,Montpelier,USA
Sunny View Farm LLC,"
SCLT0142
",Adult-Use,Jericho,43,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,31.8611058,35.4617583,,Jericho,Jericho
"Apex Arboretum, LLC; dba Green State Dispensary; dba Upstate Elevator Operators","
SCLT0158
",Adult-Use,,44,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
Passion Fruit Farms LLC,"
SCLT0216
",Adult-Use,VT,45,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.4904763,-73.1111871,Chittenden County,Essex Junction,USA
VTGRN,"
SCLT0149
",Adult-Use,VT,46,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.2272782,-73.05734269999999,Addison County,Starksboro,USA
TCD Enterprises,"
SCLT0208
",Adult-Use,"Newport, RI, USA",47,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.4901024,-71.3128285,Newport County,"Newport, RI, USA","Newport, RI, USA"
Humble Skunk,"
SCLT0191
",Adult-Use,"Westford, MA 01886, USA",48,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.5792583,-71.4378411,Middlesex County,"Westford, MA 01886, USA","Westford, MA 01886, USA"
Firetower Cannabis LLC,"
SCLT0185
",Adult-Use,"Sunderland, UK",49,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,54.906869,-1.383801,Tyne and Wear,"Sunderland, UK","Sunderland, UK"
Monarch Cultivation LLC,"
SCLT0193
",Adult-Use,"East Haven, CT, USA",50,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.2841687,-72.8684565,New Haven County,"East Haven, CT, USA","East Haven, CT, USA"
Sleeper's Garden,"
SCLT0210
",Adult-Use,Jericho,51,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,31.8611058,35.4617583,,Jericho,Jericho
Cloud 9 THC LLC,"
SCLT0203
",Adult-Use,"East Hardwick, Pontefract WF8, UK",52,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,53.6617301,-1.2989609,West Yorkshire,"East Hardwick, Pontefract WF8, UK","East Hardwick, Pontefract WF8, UK"
Kingdom Boyz,"
SCLT0218
",Adult-Use,Charleston,53,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.89938799999999,-72.06181099999999,Orleans County,West Charleston,VT
VTegridy Farms,"
SCLT0214
",Adult-Use,"Hardwick Old Hall, Hardwick Gardens, Doe Lea, Chesterfield S44 5QJ, UK",54,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,53.168791,-1.3087262,Derbyshire,"Hardwick Old Hall, Hardwick Gardens, Doe Lea, Chesterfield S44 5QJ, UK","Hardwick Old Hall, Hardwick Gardens, Doe Lea, Chesterfield S44 5QJ, UK"
High Brix Cannabis Vermont,"
SCLT0219
",Adult-Use,"Hyde Park, Tampa, FL, USA",55,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,27.9416678,-82.4639251,Hillsborough County,"Hyde Park, Tampa, FL, USA","Hyde Park, Tampa, FL, USA"
Hidden Door Cannabis LLC,"
SCLT0211
",Adult-Use,"Castleton, Hope Valley S33, UK",56,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,53.34368139999999,-1.7765105,Derbyshire,"Castleton, Hope Valley S33, UK","Castleton, Hope Valley S33, UK"
802Farmacy LLC,"
SCLT0207
",Adult-Use,"3052 Walden Ave, Depew, NY 14043, USA",57,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.9097292,-78.714281,Erie County,"3052 Walden Ave, Depew, NY 14043, USA","3052 Walden Ave, Depew, NY 14043, USA"
Palm Treez LLC,"
SCLT0217
",Adult-Use,Georgia,58,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.315407,43.35689199999999,,Georgia,Georgia
The Higher Collective,"
SCLT0213
",Adult-Use,"N Middlesex Rd, Middlesex Township, PA 17013, USA",59,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,40.2521717,-77.139805,Cumberland County,"N Middlesex Rd, Middlesex Township, PA 17013, USA","N Middlesex Rd, Middlesex Township, PA 17013, USA"
"High Priestess LLC, High Priestess","
SCLT0224
",Adult-Use,VT 05301,60,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
Mr. Tree,"
SCLT0225
",Adult-Use,VT,61,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.4669941,-73.1709604,Chittenden County,South Burlington,USA
Density,"
SCLT0237
",Adult-Use,"Fairfield, CT, USA",62,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.1408363,-73.2612615,Fairfield County,"Fairfield, CT, USA","Fairfield, CT, USA"
"
Cosmic Giggle Cannabis LLC
",SCLT0236,Adult-Use,VT,63,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.3806065,-73.227626,Chittenden County,Shelburne,USA
"
Wookberry Farm LLC
",SCLT0235,Adult-Use,"Fairfax, VA, USA",64,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,38.84622359999999,-77.30637329999999,,"Fairfax, VA, USA","Fairfax, VA, USA"
"
Greenmont Craft Cannabis Co
",SCLT0233,Adult-Use,Jericho,65,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,31.8611058,35.4617583,,Jericho,Jericho
"
Decibel Forest LLC
",SCLT0243,Adult-Use,"Plymouth, MA, USA",66,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.9584457,-70.6672621,Plymouth County,"Plymouth, MA, USA","Plymouth, MA, USA"
"
Truefella LLC
",SCLT0244,Adult-Use,"1298 Royal Rd, Annville, PA 17003, USA",67,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,40.3158947,-76.50576099999999,Lebanon County,"1298 Royal Rd, Annville, PA 17003, USA","1298 Royal Rd, Annville, PA 17003, USA"
Druid Flowers LLC,"
SCLT0246
",Adult-Use,"St Albans, UK",68,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.752725,-0.339436,Hertfordshire,"St Albans, UK","St Albans, UK"
"
Shamus Farms LLC
",SCLT0251,Adult-Use,Calais,69,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.366446,-72.4299853,Washington County,East Calais,VT
"
Pine Rock LLC
",SCLT0256,Adult-Use,Brighton,70,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.8147712,-71.8803728,Essex County,Island Pond,05846
"
Gnarly Tree Cannabis
",SCLT0257,Adult-Use,"Colchester, UK",71,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.895927,0.8918740000000001,Essex,"Colchester, UK","Colchester, UK"
"
Hornbeam Hill Farm LLC
",SCLT0259,Adult-Use,"Plainfield, IL, USA",72,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.632223,-88.2120315,Will County,"Plainfield, IL, USA","Plainfield, IL, USA"
"
Bel Solas Farm LLC
",SCLT0261,Adult-Use,VT,73,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.8266615,-72.13480969999999,Orleans County,Brownington,USA
J2 Rules LLC,"
SCLT0264
",Adult-Use,"Washington, DC, USA",74,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,38.9071923,-77.0368707,District of Columbia,"Washington, DC, USA","Washington, DC, USA"
"
Green Mountain High Growers
",SCLT0273,Adult-Use,"Pittsford, NY 14534, USA",75,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.0906186,-77.5149969,Monroe County,"Pittsford, NY 14534, USA","Pittsford, NY 14534, USA"
"
510 Roots
",SCLT0222,Adult-Use,VT 05201,76,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8781345,-73.1967741,Bennington County,Bennington,USA
"
Jellymumbler LLC
","
SCLT0289
",Adult-Use,,77,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"
Black Mountain Magic LLC.
","
SCLT0290
",Adult-Use,VT 05301,78,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Bud's Buds LLC
","
SCLT0293
",Adult-Use,"Bridport DT6, UK",79,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,50.7335769,-2.758301,Dorset,"Bridport DT6, UK","Bridport DT6, UK"
"
Happy Harvest Farm L.L.C
","
SCLT0294
",Adult-Use,"Swanton, OH 43558, USA",80,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.5886629,-83.89105339999999,Fulton County,"Swanton, OH 43558, USA","Swanton, OH 43558, USA"
"
Rhize Cannabis Company, LLC
","
SCLT0295
",Adult-Use,"Fairfax, VA, USA",81,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,38.84622359999999,-77.30637329999999,,"Fairfax, VA, USA","Fairfax, VA, USA"
"
EAST + WEST CANNABIS LLC
","
SCLT0330
",Adult-Use,Ryegate,82,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.1871121,-72.1327914,Caledonia County,South Ryegate,05069
"
Grasstender LLC
","
SCLT0334
",Adult-Use,"Brookline, MA, USA",83,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.33176419999999,-71.1211635,Norfolk County,"Brookline, MA, USA","Brookline, MA, USA"
"
Pine Grove Gardens LLC
","
SCLT0331
",Adult-Use,"Brandon IP27, UK",84,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,52.446542,0.622533,Suffolk,"Brandon IP27, UK","Brandon IP27, UK"
"
Budzone
","
SCLT0348
",Adult-Use,"St Albans, UK",85,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.752725,-0.339436,Hertfordshire,"St Albans, UK","St Albans, UK"
"
Green Key Cannabis
","
SCLT0350
",Adult-Use,VT 05757,86,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.4856255,-73.1181624,Rutland County,Middletown Springs,USA
"
The Heady Reaper
","
SCLT0347
",Adult-Use,"Duxbury, MA, USA",87,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.0417525,-70.6722767,Plymouth County,"Duxbury, MA, USA","Duxbury, MA, USA"
"
Two Dogs Grow LLC
","
SCLT0346
",Adult-Use,"Cambridge, UK",88,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,52.1950788,0.1312729,Cambridgeshire,"Cambridge, UK","Cambridge, UK"
"
Easy Green Genetix LLC
","
SCLT0345
",Adult-Use,Hartford,89,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.6489596,-72.3192579,Windsor County,White River Junction,VT
"
Lost Bittern Flower Co LLC
","
SCLT0357
",Adult-Use,,90,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"
Stash Farm, LLC; Stash Farm; Stash House; Stash Hash; Stash Snacks
","
SCLT0356
",Adult-Use,,91,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"
Royal Highness Farms
","
SCLT0355
",Adult-Use,VT 05440,92,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.9750541,-73.30022389999999,Grand Isle County,Alburgh,USA
"
Florentine Farms Cannabis
","
SCLT0351
",Adult-Use,VT,93,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.4904763,-73.1111871,Chittenden County,Essex Junction,USA
,,Adult-Use,,94,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"
Euphoria Cannabis Products LLC
","
CLTV0055
",Adult-Use,VT,95,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.5101525,-73.0834648,Chittenden County,Essex,USA
"
Grass Queen, Inc.
","
CLTV0066
",Adult-Use,"Plainfield, IL, USA",96,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,41.632223,-88.2120315,Will County,"Plainfield, IL, USA","Plainfield, IL, USA"
"
Bern Living Organics, LLC; Bern Living Organics
","
CLTV0089
",Adult-Use,VT,97,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,44.2056098,-73.2462341,Addison County,Ferrisburgh,USA
"
NEK Gardens
","
CLTV0095
",Adult-Use,"Danville, CA, USA",98,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,37.8215929,-121.9999606,Contra Costa County,"Danville, CA, USA","Danville, CA, USA"
"
Subterra Cannabis LLC
","
CLTV0093
",Adult-Use,VT 05301,99,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
"
Rainbows End Cannabis  or Rainbows End Cannabis LLC
","
CLTV0102
",Adult-Use,"Westminster, London SW1, UK",100,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.4974948,-0.1356583,Greater London,"Westminster, London SW1, UK","Westminster, London SW1, UK"
"
Giving Tree Cannabis LLC
","
CLTV0104
",Adult-Use,VT,101,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,43.3465552,-73.177286,Rutland County,Pawlet,USA
"
Green Mountain Cannabis North
","
CLTV0083
",Adult-Use,"St Albans, UK",102,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,51.752725,-0.339436,Hertfordshire,"St Albans, UK","St Albans, UK"
"
The Flying Cactus
",CLTV0109,Adult-Use,,103,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,,,,,
"
Seven Leaf Genetics
",CLTV0234,Adult-Use,"North Hyde Park, Tampa, FL, USA",104,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,27.9506018,-82.47884189999999,Hillsborough County,"North Hyde Park, Tampa, FL, USA","North Hyde Park, Tampa, FL, USA"
"
Gas Factory LLC, DBA Gas Factory
",CLTV0110,Adult-Use,"Williston, ND 58801, USA",105,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,48.1469683,-103.6179745,Williams County,"Williston, ND 58801, USA","Williston, ND 58801, USA"
"
Tao Labs LTD CO
",CLTV0242,Adult-Use,VT 05301,106,,VTCCB,Vermont Cannabis Control Board,VT,,,,,,,,,,,,,,2023-12-05T23:08:27.104248,42.8509152,-72.5578678,Windham County,Brattleboro,USA
