activity,adult_use,business_dba_name,business_image_url,business_legal_name,business_owner_name,business_phone,business_structure,county,data_refreshed_date,expiration_date,id,issue_date,license_designation,license_number,license_status,license_status_date,license_term,license_type,licensing_authority,licensing_authority_id,medical,parcel_number,premise_city,premise_county,premise_latitude,premise_longitude,premise_state,premise_zip_code
,False,"VMO-Ops, Inc",,"VMO-Ops, Inc",,240-418-2120,,St. Louis city,2023-04-27T08:29:20.855378,,0,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,True,,MO 63120,,38.6893721,-90.266699,MO,63120
,False,Red Tractor Cultivation LLC,,Red Tractor Cultivation LLC,,402-650-0306,,Jackson County,2023-04-27T08:29:20.855378,,1,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,True,,MO 64120,Jackson County,39.1347147,-94.5160396,MO,64120
,True,"MR 5025 OH100, LLC",,"MR 5025 OH100, LLC",,314-333-3918,,Franklin County,2023-04-27T08:29:20.855378,,2,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Franklin County,38.55810719999999,-91.01208779999999,MO,63090
,True,Agri-Genesis LLC,,Agri-Genesis LLC,,660-851-1660,,Macon County,2023-04-27T08:29:20.855378,,3,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Macon,Macon County,39.7662896,-92.455834,MO,63552
,True,Happy Days LLC,,Happy Days LLC,,(81-6) -810-3236,,Greene County,2023-04-27T08:29:20.855378,,4,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 65802,Greene County,37.1953893,-93.3892894,MO,65802
,True,"BB Technologies, LLC",,"BB Technologies, LLC",,(31-2)9-25-1217,,Jackson County,2023-04-27T08:29:20.855378,,5,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 65582,Maries County,38.1867085,-91.94711199999999,MO,64106
,True,1913 Carrollton Manufacturing LLC,,1913 Carrollton Manufacturing LLC,,216-577-9178,,Carroll County,2023-04-27T08:29:20.855378,,6,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 64633,Carroll County,39.3583539,-93.4957675,MO,64633
,True,BTMD Holdings LLC,,BTMD Holdings LLC,,319-521-1850,,Morgan County,2023-04-27T08:29:20.855378,,7,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO,Morgan County,38.3083614,-92.8254697,MO,65037
,True,"Standard Wellness Missouri, LLC",,"Standard Wellness Missouri, LLC",,321-831-2996,,Audrain County,2023-04-27T08:29:20.855378,,8,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,Vandalia,Audrain County,39.3061447,-91.4744262,MO,63382
,True,"Monarch Advanced Sciences, LLC",,"Monarch Advanced Sciences, LLC",,314-393-9286,,St. Louis County,2023-04-27T08:29:20.855378,,9,,Adult-Use,,,,,,Missouri Department of Health and Senior Services,MDHSS,False,,MO 63134,St. Louis County,38.7415569,-90.3418927,MO,63134
